,CandleTime,TriggeredChecker,TakenAction
0,2023-06-01 00:00:00+00:00,start_time_checker,SKIP
1,2023-06-01 00:15:00+00:00,start_time_checker,SKIP
2,2023-06-01 00:30:00+00:00,start_time_checker,SKIP
3,2023-06-01 00:45:00+00:00,start_time_checker,SKIP
4,2023-06-01 01:00:00+00:00,start_time_checker,SKIP
5,2023-06-01 01:15:00+00:00,start_time_checker,SKIP
6,2023-06-01 01:30:00+00:00,start_time_checker,SKIP
7,2023-06-01 01:45:00+00:00,start_time_checker,SKIP
8,2023-06-01 02:00:00+00:00,start_time_checker,SKIP
9,2023-06-01 02:15:00+00:00,start_time_checker,SKIP
10,2023-06-01 02:30:00+00:00,start_time_checker,SKIP
11,2023-06-01 02:45:00+00:00,start_time_checker,SKIP
12,2023-06-01 03:00:00+00:00,start_time_checker,SKIP
13,2023-06-01 03:15:00+00:00,start_time_checker,SKIP
14,2023-06-01 03:30:00+00:00,start_time_checker,SKIP
15,2023-06-01 03:45:00+00:00,start_time_checker,SKIP
16,2023-06-01 04:00:00+00:00,start_time_checker,SKIP
17,2023-06-01 04:15:00+00:00,start_time_checker,SKIP
18,2023-06-01 04:30:00+00:00,start_time_checker,SKIP
19,2023-06-01 04:45:00+00:00,start_time_checker,SKIP
20,2023-06-01 05:00:00+00:00,start_time_checker,SKIP
21,2023-06-01 05:15:00+00:00,start_time_checker,SKIP
22,2023-06-01 05:30:00+00:00,start_time_checker,SKIP
23,2023-06-01 05:45:00+00:00,start_time_checker,SKIP
388,2023-06-07 03:15:00+00:00,start_time_checker,SKIP
389,2023-06-07 03:30:00+00:00,start_time_checker,SKIP
390,2023-06-07 03:45:00+00:00,start_time_checker,SKIP
391,2023-06-07 04:00:00+00:00,start_time_checker,SKIP
392,2023-06-07 04:15:00+00:00,start_time_checker,SKIP
393,2023-06-07 04:30:00+00:00,start_time_checker,SKIP
394,2023-06-07 04:45:00+00:00,start_time_checker,SKIP
395,2023-06-07 05:00:00+00:00,start_time_checker,SKIP
396,2023-06-07 05:15:00+00:00,start_time_checker,SKIP
397,2023-06-07 05:30:00+00:00,start_time_checker,SKIP
398,2023-06-07 05:45:00+00:00,start_time_checker,SKIP
399,2023-06-07 06:00:00+00:00,to_sell_order_1_checker,SELL 1%
400,2023-06-07 06:15:00+00:00,,
401,2023-06-07 06:30:00+00:00,,
402,2023-06-07 06:45:00+00:00,,
403,2023-06-07 07:00:00+00:00,,
404,2023-06-07 07:15:00+00:00,,
405,2023-06-07 07:30:00+00:00,,
406,2023-06-07 07:45:00+00:00,,
407,2023-06-07 08:00:00+00:00,,
408,2023-06-07 08:15:00+00:00,,
409,2023-06-07 08:30:00+00:00,,
410,2023-06-07 08:45:00+00:00,,
411,2023-06-07 09:00:00+00:00,,
412,2023-06-07 09:15:00+00:00,,
413,2023-06-07 09:30:00+00:00,,
414,2023-06-07 09:45:00+00:00,,
415,2023-06-07 10:00:00+00:00,,
416,2023-06-07 10:15:00+00:00,,
417,2023-06-07 10:30:00+00:00,,
418,2023-06-07 10:45:00+00:00,,
419,2023-06-07 11:00:00+00:00,,
420,2023-06-07 11:15:00+00:00,,
421,2023-06-07 11:30:00+00:00,,
422,2023-06-07 11:45:00+00:00,,
423,2023-06-07 12:00:00+00:00,,
424,2023-06-07 12:15:00+00:00,,
425,2023-06-07 12:30:00+00:00,,
426,2023-06-07 12:45:00+00:00,,
427,2023-06-07 13:00:00+00:00,,
428,2023-06-07 13:15:00+00:00,,
429,2023-06-07 13:30:00+00:00,,
430,2023-06-07 13:45:00+00:00,,
431,2023-06-07 14:00:00+00:00,,
432,2023-06-07 14:15:00+00:00,,
433,2023-06-07 14:30:00+00:00,,
434,2023-06-07 14:45:00+00:00,,
435,2023-06-07 15:00:00+00:00,,
436,2023-06-07 15:15:00+00:00,,
437,2023-06-07 15:30:00+00:00,,
438,2023-06-07 15:45:00+00:00,,
439,2023-06-07 16:00:00+00:00,,
440,2023-06-07 16:15:00+00:00,,
441,2023-06-07 16:30:00+00:00,,
442,2023-06-07 16:45:00+00:00,,
443,2023-06-07 17:00:00+00:00,,
444,2023-06-07 17:15:00+00:00,,
